FromDevice,ToDevice,OperatingSystem,IPAddress,MACAddress,Low Port,High Port,Protocol,Service,Boundary 1,Boundary 2,Boundary 3,Boundary 4,Boundary 5,Boundary 6,Boundary 7,Boundary 8,Boundary 9,Boundary 10,Boundary 11,Boundary 12,Boundary 13,Boundary 14,Boundary 15,Boundary 16
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,500,,udp,isakmp?,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,1900,,udp,ssdp?,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,3389,,tcp,msrdp,X,X,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,3389,,udp,ms-wbt-server?,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,3702,,udp,upnp-discovery?,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,4500,,udp,ipsec-nat-t?,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,5040,,tcp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,5050,,udp,mmcc?,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,5353,,udp,mdns?,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,7680,,tcp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,49667,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,49668,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,49669,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,49674,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,50220,,tcp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,52505,,udp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,52800,,udp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,53678,,udp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,59911,,udp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,60040,,udp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,61012,,udp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,61874,,udp,unknown,,,,,,,,,,,,,,,,
WKS1-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.15,02:30:00:00:00:0f,65118,,udp,unknown,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,123,,udp,ntp?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,135,,tcp,epmap,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,137,,udp,netbios-ns,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,138,,udp,netbios-dgm?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,139,,tcp,smb,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,445,,tcp,cifs,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,500,,udp,isakmp?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,1900,,udp,ssdp?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,3389,,tcp,msrdp,X,X,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,3389,,udp,ms-wbt-server?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,3702,,udp,upnp-discovery?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,4500,,udp,ipsec-nat-t?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,5040,,tcp,unknown,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,5050,,udp,mmcc?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,5353,,udp,mdns?,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,7680,,tcp,unknown,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,49667,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,49668,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,49669,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,49674,,tcp,dce-rpc,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,50090,,tcp,unknown,,,,,,,,,,,,,,,,
WKS2-SOTERIA,SOT-WIN2K22-DOM1,Windows 11,192.168.30.16,02:30:00:00:00:10,52368,,udp,unknown,,,,,,,,,,,,,,,,
